,p1mean,p1median,p1std,p2mean,p2median,p2std,pval,reaction
151,0.469063269731,0.420949421472,0.282922815389,0.568652236118,0.585098419859,0.302910305796,0.754,MDH
152,0.363808385816,0.294421580376,0.24665780458,0.573227385441,0.547426924355,0.314772115519,0.546,METAT
153,0.0873241654479,0.0614867179201,0.0843631595894,0.151570326896,0.0988660669703,0.137017897599,0.644,HSERTA
154,0.282953763701,0.221775818301,0.221373247202,0.508876195816,0.48134667315,0.305000904664,0.542,AHCi
155,0.0,0.0,0.0,-1.43245415529e-14,0.0,5.88972865917e-14,0.028,SPMDAT1
156,-759.865739807,-755.958129953,68.4563577885,-825.798763606,-831.575344787,54.0472273775,0.698,M5DPP
157,0.0101486257788,0.0100843079605,0.00480249774418,0.0141148530603,0.0139291426299,0.00422208152567,0.298,METS
158,0.724964647342,0.531650409928,0.661243707125,3.02977949086,3.1331377228,0.720534085538,0.054,TGOM
159,0.00232716792709,0.00190420701166,0.00174345668714,0.00743680489215,0.00809628487176,0.00410934456156,0.276,AHSERL2
160,759.865739807,755.958129953,68.4563577885,825.798763606,831.575344787,54.0472273775,0.698,H23KMP
161,-1.99839947304e-14,-1.5773105906e-14,1.81080965273e-14,-4.59074504115e-13,-5.106121223e-13,2.5480446847e-13,0.006,DM1PE
162,0.00782145785185,0.00805914837796,0.00448975894966,0.00667804816812,0.00605487075321,0.00286065314075,0.882,SHSL1
163,-6.71672909527e-14,-6.99670738852e-14,3.29594337355e-14,-4.40978529064e-13,-4.70094109334e-13,2.16555945325e-13,0.002,APAPT
164,-6.45271292364e-14,-6.90086153136e-14,3.14947467354e-14,-4.3857072428e-13,-4.82308713589e-13,2.4469675363e-13,0.028,ADMDC
165,0.00232716792731,0.00190420701188,0.00174345668715,0.00743680488945,0.0080962848681,0.00410934456129,0.276,CYSDS
166,2.03090166906e-12,3.41060513165e-13,3.20620840953e-12,-8.83460415935e-13,-3.41060513165e-13,1.51601464763e-12,0.614,LCYSTST
167,0.0,0.0,0.0,0.0,0.0,0.0,0.002,SPMDAT2
168,4.44515535491e-14,0.0,1.1555595439e-13,6.82121026332e-16,0.0,8.7840795412e-15,0.118,ASAPT
169,5.02222974319e-12,3.75166564481e-12,3.91381067339e-12,-1.91346316569e-12,-2.27373675443e-12,1.62192503515e-12,0.048,METR
170,0.0808546221183,0.0545018094336,0.0850707852418,0.0643511896197,0.0465746657162,0.0582135640904,0.924,AHCYSNS
171,0.0,0.0,0.0,7.76560909247e-17,7.66196969276e-17,3.11128775268e-17,0.002,M51PH
172,759.865739807,755.958129953,68.4563577885,825.798763606,831.575344787,54.0472273775,0.698,M523I
173,0.0849969975205,0.0595574797314,0.0841900630683,0.144133522005,0.0904925437654,0.13597208325,0.68,METGL
174,0.00782145785182,0.00805914837794,0.00448975894965,0.00667804816808,0.00605487075316,0.00286065314076,0.882,HSST
175,0.0849969975114,0.0595574797274,0.0841900630676,0.144133522006,0.0904925437681,0.135972083249,0.68,AHSERL
176,0.0808546221183,0.0545018094336,0.0850707852418,0.0643511896197,0.0465746657162,0.0582135640904,0.924,RHCCE
177,-5.91184358793e-14,-6.26892154962e-14,2.97988750742e-14,-4.56036830723e-13,-5.02822144975e-13,2.50304709083e-13,0.008,MTRK
178,1.53847345921e-14,1.39650945463e-14,9.93361533788e-15,-4.52468585375e-13,-4.99548222601e-13,2.53427687602e-13,0.002,MTRI
179,-5.62683644195e-14,-6.01647158236e-14,2.88971442911e-14,-4.64455489967e-13,-4.89923489565e-13,2.22949615516e-13,0.002,MTAN
180,0.00782145785182,0.00805914837793,0.00448975894965,0.00667804816808,0.00605487075316,0.00286065314076,0.882,CYSTL
181,0.363808385812,0.294421580372,0.246657804581,0.573227385439,0.547426924355,0.314772115519,0.546,HCYSMT
182,0.595432191204,0.522782419255,0.31383925988,0.358724894353,0.331322027605,0.183216075234,0.518,ORNR
183,0.595432191205,0.522782419256,0.31383925988,0.358724894349,0.331322027601,0.183216075234,0.518,A24T
184,0.595432191204,0.522782419255,0.31383925988,0.358724894349,0.331322027601,0.183216075234,0.518,O45AM
185,0.171991294599,0.138975170104,0.138437120997,0.221660186128,0.180855528903,0.160376533861,0.754,DOP1
186,0.423440896606,0.37701440203,0.294647669037,0.137064708221,0.0882862095529,0.147962650515,0.3,DOP2
187,793.288320635,800.106304418,61.483572403,807.479905957,817.842938926,60.1880611534,0.888,EX_sel(e)
188,770.692792201,781.746200541,69.0806700522,806.591412427,817.837305259,59.2957807109,0.708,EX_slnt(e)
189,-1.76152313015e-13,-1.70567174374e-13,1.08561206686e-13,2.50215250608e-12,1.05195753227e-12,2.44955877037e-12,0.002,DNMPPA
190,2.98893189609e-13,2.26805259665e-13,2.51417529701e-13,-9.30902825495e-13,-1.00071765856e-12,3.33339206864e-13,0.002,DHPS2
